29.482	45.684	2.259
38.014	-32.704	47.975
-22.855	-24.767	37.574
23.731	-36.348	-48.824
39.39	-30.086	-20.128
16.144	-21.559	-3.0776
-43.522	48.833	8.2792
-7.6504	1.5512	-16.605
-6.7093	-27.405	7.9807
26.037	2.9823	14.053
-29.093	-12.018	28.333
18.085	-3.8905	6.7829
29.421	-44.082	10.287
-44.973	-8.4625	-19.5
37.437	-48.499	26.795
47.084	49.008	28.886
-6.1341	-0.16887	-28.604
14.349	-17.996	46.01
22.663	-8.8047	24.457
-23.205	-6.0076	43.338
18.333	-28.744	33.924
12.878	-36.623	-29.287
10.72	12.989	-12.952
7.5148	-4.8575	-45.61
-47.281	-18.731	-48.714
-11.603	18.312	-40.716
-46.466	11.24	10.854
-48.424	-48.365	-30.993
8.6918	-44.242	-13.243
13.145	21.763	19.267
-41.592	-4.5645	-5.8172
-14.675	-34.639	17.564
19.921	22.751	-2.1616
5.4842	-37.895	-4.9246
21.588	39.284	-22.69
-24.523	36.56	-26.765
30.487	40.84	-26.811
-26.069	-45.025	-42.162
14.082	-30.911	34.387
-32.61	-32.921	49.43
-6.0209	-15.995	-18.578
-13.492	-10.676	9.1525
-38.025	-46.187	-4.1402
36.987	43.424	-23.555
-33.97	37.286	-26.212
14.583	46.689	16.493
37.038	-49.007	-36.299
31.876	-6.9834	39.032
23.491	18.732	-15.389
-33.397	-34.439	-30.888
-7.7548	35.598	-0.975
31.593	-3.923	-4.2646
-4.9311	-8.7781	40.161
-49.442	-20.259	-45.084
19.318	15.011	48.299
5.2673	-9.9926	-30.121
12.52	23.336	-12.411
-49.012	-8.0142	25.367
29.387	41.996	34.472
-13.225	12.08	23.128
-30.611	40.481	6.9206
13.179	-26.559	4.8782
43.158	-16.48	15.553
-10.81	12.731	19.908
-10.282	-8.6371	15.521
33.759	-12.839	-7.4747
9.4663	6.5739	21.654
1.1311	27.64	-1.0655
-31.41	20.064	48.271
30.664	20.357	-1.5036
-38.539	16.486	-13.463
-35.996	6.6773	32.301
17.395	49.945	46.164
-44.114	-13.969	4.8513
-23.823	9.7345	-45.072
7.1057	20.086	46.229
25.052	23.999	-6.8127
13.427	30.303	-41.612
44.546	41.594	10.199
-24.644	37.345	1.3401
23.265	-7.7773	46.137
-42.794	5.3408	-20.802
35.796	-16.424	18.02
-44.656	-14.334	-0.16954
-6.5559	6.2458	11.662
-38.666	39.825	25.455
29.112	31.495	17
-29.912	-22.691	12.623
3.6852	-44.05	-41.104
-22.869	-9.0928	-2.5959
40.899	9.6247	-17.104
-2.1806	9.7171	-33.855
32.947	45.612	9.5548
-47.125	31.212	11.011
20.149	-40.78	-7.5111
-12.442	-33.385	33.315
33.864	-4.8386	45.66
-35.285	36.993	26.944
-5.5838	12.062	45.169
14.001	-25.267	-14.73
